requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,capability,NN,O,NOUN.ATTRIBUTE 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,pre-determined set of services,NNS,O,NOUN.ACT 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,set of services,NNS,O,NOUN.ACT 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,authenticated client,NN,O,NOUN.PERSON 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,pre-determined set,VBN,O,NOUN.PERSON 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,set,VBN,O,NOUN.PERSON 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,client,NN,O,NOUN.PERSON 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes,NNS,O,OTHER 
2,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON 
2,monitoring,VBG,O,NOUN.ACT,change for,VB,TV,FALSE,operational devices,NNS,O,NOUN.COGNITION 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring of status,NN,O,NOUN.STATE 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring,NN,O,NOUN.ACT 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states,NNS,O,OTHER 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,local monitoring of status,NN,O,NOUN.STATE 
2,monitoring,VBG,O,NOUN.ACT,change of,VB,TV,FALSE,states,NNS,O,OTHER 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states for operational devices,NNS,O,NOUN.COGNITION 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes for devices,NNS,O,NOUN.COGNITION 
