requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,UIC,NNP,ORGANIZATION,OTHER,support,NN,TV,FALSE,Cab radio services,NNS,O,NOUN.ACT ,0
1,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
2,UIC,NNP,ORGANIZATION,OTHER,support,NN,TV,FALSE,driver call-related services,NNS,O,NOUN.ACT ,0
2,UIC,NNP,ORGANIZATION,OTHER,support,NN,TV,FALSE,driver services,NNS,O,NOUN.ACT ,0
2,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
3,driver,NN,PERSON,NOUN.PERSON,control,NN,TV,FALSE,calls,VBZ,O,OTHER ,1
3,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
3,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
4,driver,NN,PERSON,NOUN.PERSON,call,NN,TV,FALSE,other drivers in area,NN,O,NOUN.LOCATION ,1
4,driver,NN,PERSON,NOUN.PERSON,call,NN,TV,FALSE,other drivers,NNS,O,OTHER ,1
4,driver,NN,PERSON,NOUN.PERSON,call,NN,TV,FALSE,drivers in area,NN,O,NOUN.LOCATION ,1
4,driver,NN,PERSON,NOUN.PERSON,call,NN,TV,FALSE,drivers,NNS,O,OTHER ,1
4,other driver,NN,PERSON,NOUN.PERSON,be in,VB,IS-A,FALSE,area,NN,O,NOUN.LOCATION ,0
4,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
4,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
5,driver,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,Railway emergency call,NN,O,NOUN.COMMUNICATION ,1
5,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
5,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
6,driver,NN,PERSON,NOUN.PERSON,confirm,VBP,TV,TRUE,receipt of Railway emergency call,NN,O,NOUN.COMMUNICATION ,1
6,driver,NN,PERSON,NOUN.PERSON,confirm,VBP,TV,TRUE,receipt,NN,O,NOUN.ACT ,1
6,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
6,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with drivers on same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with other drivers on same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with other drivers on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate with,VBP,TV,TRUE,drivers,NNS,O,OTHER ,1
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with drivers on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate,VBP,O,OTHER ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate on,VBP,TV,TRUE,train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,1
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate with,VBP,TV,TRUE,other drivers,NNS,O,OTHER ,1
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with other drivers,NNS,O,OTHER ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VBP,PERMISSION,FALSE,communicate with drivers,NNS,O,OTHER ,0
7,UIC,NNP,ORGANIZATION,OTHER,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN.OBJECT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate on,VBP,TV,TRUE,same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,1
