requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,driver,NN,PERSON,NOUN.PERSON,of,IN,OTHER,FALSE,smart card,NN,O,NOUN.POSSESSION ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's smart card to similar person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's smart card to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's smart card,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's card to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery to similar person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's card,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,requests,NNS,O,OTHER ,1
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery of driver 's card to similar person,NN,O,NOUN.TOPS ,0
1,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,OTHER,FALSE,possible delivery,NN,O,NOUN.ACT ,0
1,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,member of network,NN,O,NOUN.GROUP ,0
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,bulk request on all,DT,O,NOUN.ATTRIBUTE ,1
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,request on all,DT,O,NOUN.COMMUNICATION ,1
2,driver,NN,PERSON,NOUN.PERSON,of,IN,OTHER,FALSE,smart cardholders,NNS,O,NOUN.STATE ,0
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,request,NN,O,NOUN.COMMUNICATION ,1
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,bulk request,NN,O,NOUN.COMMUNICATION ,1
2,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN.PERSON ,0
2,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,member of network,NN,O,NOUN.GROUP ,0
3,member,NN,PERSON,NOUN.PERSON,do,VBP,TV,FALSE,statistics,NNS,O,NOUN.COGNITION ,1
3,member,NN,PERSON,NOUN.PERSON,do,VBP,TV,FALSE,statistics on messages,NNS,O,NOUN.COGNITION ,1
3,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN.PERSON ,0
4,system,NN,O,NOUN.GROUP,provide reply through,IN,OTHER,FALSE,use,NN,O,NOUN.ACT ,0
