requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
2,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,capability,NN,O,NOUN.ATTRIBUTE 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,pre-determined set of services,NNS,O,NOUN.ACT 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,set of services,NNS,O,NOUN.ACT 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,authenticated client,NN,O,NOUN.PERSON 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,pre-determined set,VBN,O,NOUN.PERSON 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,VB,TV,TRUE,set,VBN,O,NOUN.PERSON 
2,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,client,NN,O,NOUN.PERSON 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes,NNS,O,OTHER 
3,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON 
3,monitoring,VBG,O,NOUN.ACT,change for,VB,TV,FALSE,operational devices,NNS,O,NOUN.COGNITION 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring of status,NN,O,NOUN.STATE 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring,NN,O,NOUN.ACT 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states,NNS,O,OTHER 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,local monitoring of status,NN,O,NOUN.STATE 
3,monitoring,VBG,O,NOUN.ACT,change of,VB,TV,FALSE,states,NNS,O,OTHER 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states for operational devices,NNS,O,NOUN.COGNITION 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes for devices,NNS,O,NOUN.COGNITION 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,local monitoring,NN,O,NOUN.ACT 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes for operational devices,NNS,O,NOUN.COGNITION 
3,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states for devices,NNS,O,NOUN.COGNITION 
3,monitoring,VBG,O,NOUN.ACT,change for,VB,TV,FALSE,devices,NNS,O,NOUN.COGNITION 
4,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON 
4,user,NN,PERSON,NOUN.PERSON,operate,VBP,TV,TRUE,equipment,NN,O,NOUN.ARTIFACT 
4,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,operate,VBP,O,OTHER 
5,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON 
5,user,NN,PERSON,NOUN.PERSON,change,VB,TV,FALSE,parameter,NN,O,NOUN.COGNITION 
6,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON 
