requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,capability,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,FALSE,pre-determined set of service,NNS,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,FALSE,set of service,NNS,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict,VB,TV,TRUE,authenticate client,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,FALSE,pre-determined set,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,FALSE,set,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict,VB,TV,TRUE,client,NN,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change,NNS,O,TN ,1
2,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
2,monitoring,NN,O,NON-PERSON,change for,IN,TV,FALSE,operational device,NNS,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,monitoring of status,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,monitoring,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change of state,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,local monitoring of status,NN,O,TN ,1
2,monitoring,NN,O,NON-PERSON,change of,IN,TV,FALSE,state,NNS,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change of state for operational device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change for device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,local monitoring,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change for operational device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,TRUE,change of state for device,NNS,O,TN ,1
2,monitoring,NN,O,NON-PERSON,change for,IN,TV,FALSE,device,NNS,O,TN ,0
3,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
3,user,NN,PERSON,PERSON,operate,VB,TV,TRUE,equipment,NN,O,TN ,1
3,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,operate,VB,O,TV ,0
4,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
4,user,NN,PERSON,PERSON,change,VB,TV,FALSE,parameter,NN,O,TN ,1
5,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
5,user,NN,PERSON,PERSON,visualize,VB,TV,TRUE,alarm,NNS,O,TN ,1
6,user,NN,PERSON,PERSON,acknowledge,VB,TV,FALSE,alarm,NNS,O,TN ,1
6,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
7,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
7,system,NN,O,NON-PERSON,should allow user to,TO,OTHER,FALSE,clear alarm,NNS,O,TN ,0
7,system,NN,O,NON-PERSON,should allow to,TO,OTHER,FALSE,clear alarm,NNS,O,TN ,0
7,system,NN,O,NON-PERSON,should allow user to,TO,OTHER,FALSE,alarm,NNS,O,TN ,0
7,system,NN,O,NON-PERSON,should allow to,TO,OTHER,FALSE,alarm,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,scanning of device for alarm,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,scanning of device,NNS,O,TN ,0
8,change,NNS,O,NON-PERSON,be in,IN,TV,FALSE,state,NN,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,scanning,NN,O,TN ,0
8,operator control action,NNS,O,NON-PERSON,continuous scanning of,IN,OTHER,FALSE,device,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,scanning for alarm,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,change,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,continuous scanning of device,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,operator control action,NNS,O,TN ,0
8,operator control action,NNS,O,NON-PERSON,scanning for,IN,OTHER,FALSE,alarm,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,continuous scanning of device for alarm,NNS,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,continuous scanning,NN,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,change in state,NN,O,TN ,0
8,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,continuous scanning for alarm,NNS,O,TN ,0
8,operator control action,NNS,O,NON-PERSON,continuous scanning for,IN,OTHER,FALSE,alarm,NNS,O,TN ,0
8,operator control action,NNS,O,NON-PERSON,scanning of,IN,OTHER,FALSE,device,NNS,O,TN ,0
9,parameter,NNS,O,NON-PERSON,retrieve,VB,TV,FALSE,those,DT,O,OTHER ,0
9,parameter,NNS,O,NON-PERSON,retrieve,VB,TV,FALSE,only those,DT,O,OTHER ,0
10,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,disturbance/fault record,NN,O,TN ,0
10,system,NN,O,NON-PERSON,should support,VB,TV,FALSE,record,NN,O,TN ,0
10,system,NN,O,NON-PERSON,retrieve,VBP,TV,FALSE,datum,NNS,O,TN ,0
11,user,NN,PERSON,PERSON,configure,VB,TV,TRUE,communication network,NN,O,TN ,1
11,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,user,NN,O,TN ,0
12,system,NN,O,NON-PERSON,synchronise,VB,TV,TRUE,time,NN,O,TN ,0
12,system,NN,O,NON-PERSON,synchronise,VB,TV,TRUE,time of device,NNS,O,TN ,0
12,system,NN,O,NON-PERSON,synchronise time within,IN,TV,FALSE,communication system,NN,O,TN ,0
13,system,NN,O,NON-PERSON,detect,VBZ,TV,TRUE,operational,JJ,O,TA ,0
13,device,NN,O,NON-PERSON,be,VBZ,TV,FALSE,operational,JJ,O,TA ,0
13,object,NN,O,NON-PERSON,be,VBZ,TV,FALSE,operational,JJ,O,TA ,0
13,device,NN,O,NON-PERSON,be,VBZ,TV,FALSE,fully operational,JJ,O,OTHER ,0
13,system,NN,O,NON-PERSON,detect,VBZ,TV,TRUE,fully operational,JJ,O,OTHER ,0
13,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,detect,VBZ,O,TV ,0
13,object,NN,O,NON-PERSON,be,VBZ,TV,FALSE,fully operational,JJ,O,OTHER ,0
14,system,NN,O,NON-PERSON,should provide,VB,TV,FALSE,status report for component,NNS,O,TN ,0
14,system,NN,O,NON-PERSON,should provide,VB,TV,FALSE,status report,NNS,O,TN ,0
15,datum,NNS,O,NON-PERSON,be,VB,TV,FALSE,store in plant controller for transmission,NN,O,TN ,0
15,datum,NNS,O,NON-PERSON,be,VB,TV,FALSE,store in plant controller for transmission on demand,NN,O,TN ,0
15,datum,NNS,O,NON-PERSON,be store in,IN,TV,FALSE,plant controller,NN,TITLE,TN ,0
15,system,NN,O,NON-PERSON,should allow,VB,TV,FALSE,datum,NNS,O,TN ,0
15,datum,NNS,O,NON-PERSON,be,VB,TV,FALSE,store,VBN,O,TN ,0
15,datum,NNS,O,NON-PERSON,be store for,IN,TV,FALSE,transmission on demand,NN,O,TN ,0
15,datum,NNS,O,NON-PERSON,be store for,IN,TV,FALSE,transmission,NN,O,TN ,0
16,system,NN,O,NON-PERSON,download,VB,TV,FALSE,configuration,NN,O,TN ,0
16,system,NN,O,NON-PERSON,retrieve,VBP,TV,FALSE,configuration datum,NNS,O,TN ,0
17,system,NN,O,NON-PERSON,start object within,IN,TV,FALSE,system,NN,O,TN ,0
17,system,NN,O,NON-PERSON,start,VB,TV,FALSE,object,NNS,O,TN ,0
17,system,NN,O,NON-PERSON,start function within,IN,TV,FALSE,system,NN,O,TN ,0
17,system,NN,O,NON-PERSON,start,VB,TV,FALSE,function,NNS,O,TN ,0
