requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NON-PERSON,shall allow,VB,TV,Y,user,NN,O,TN ,0
1,user,NN,PERSON,PERSON,select,VB,TV,Y,product,NN,O,TN ,1
1,user,NN,PERSON,PERSON,select product,NN,TV,Y,configure,VB,O,TV ,1
2,system,NN,O,NON-PERSON,shall display,VB,TV,Y,available component of product,NN,O,TN ,0
3,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,user,NN,O,TN ,0
4,system,NN,O,NON-PERSON,shall notify user about,IN,OTHER,N,conflict in current configuration,NN,O,TN ,0
5,system,NN,O,NON-PERSON,shall allow,VB,TV,Y,user,NN,O,TN ,0
5,user,NN,PERSON,PERSON,update,VB,TV,Y,configuration,NN,O,TN ,1
5,conflict,NN,PERSON,PERSON,be in,IN,TV,Y,current configuration,NN,O,TN ,1
6,system,NN,O,NON-PERSON,shall allow,VB,TV,Y,user,NN,O,TN ,0
6,user,NN,PERSON,PERSON,confirm,VB,TV,Y,completion of current configuration,NN,O,TN ,1
6,user,NN,PERSON,PERSON,confirm,VB,TV,Y,completion,NN,O,TN ,1
6,user,NN,PERSON,PERSON,confirm,VB,TV,Y,completion of configuration,NN,O,TN ,1
7,system,NN,O,NON-PERSON,shall display,VB,TV,Y,detailed product categorization,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall display,VB,TV,Y,product categorization,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall display product categorization to,TO,OTHER,N,user,NN,O,TN ,0
8,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,user,NN,O,TN ,0
8,user,NN,PERSON,PERSON,enter,VB,TV,Y,search text,NN,O,TN ,1
8,user,NN,PERSON,PERSON,enter search text on,IN,TV,Y,screen,NN,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,Y,option on screen,NN,O,TN ,1
9,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,user,NN,O,TN ,0
9,user,NN,PERSON,PERSON,select option,NNS,TV,Y,search,VB,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,Y,multiple option on screen,NN,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,Y,multiple option,NNS,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,Y,option,NNS,O,TN ,1
11,system,NN,O,NON-PERSON,shall display,VB,TV,Y,only 10 matching result,NN,O,TN ,0
11,system,NN,O,NON-PERSON,shall display,VB,TV,Y,only 10 result,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,navigate between search,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,user,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,Y,navigate,VB,O,TV ,0
