requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,user,NNS,PERSON,NOUN.PERSON,can apply through,IN,TV,FALSE,web portal,NN,O,NOUN.ARTIFACT ,1
1,user,NNS,PERSON,NOUN.PERSON,can apply directly for,IN,TV,FALSE,account,NN,O,NOUN.STATE ,1
1,user,NNS,PERSON,NOUN.PERSON,can apply for,IN,TV,FALSE,account,NN,O,NOUN.STATE ,1
1,user,NNS,PERSON,NOUN.PERSON,can apply directly through,IN,TV,FALSE,web portal,NN,O,NOUN.ARTIFACT ,1
2,user,NNS,PERSON,NOUN.PERSON,must enter,VB,TV,FALSE,require field,NNS,O,NOUN.LOCATION ,1
3,user,NN,PERSON,NOUN.PERSON,must enter,VB,TV,FALSE,they NCAR Gatekeeper username,NNP,O,OTHER ,1
4,user,NN,PERSON,NOUN.PERSON,can view,VB,TV,FALSE,they account detail,NNS,O,NOUN.COGNITION ,1
4,user,NN,PERSON,NOUN.PERSON,can view,VB,TV,FALSE,they current account detail,NNS,O,NOUN.COGNITION ,1
9,user account,NN,O,NOUN.STATE,be delete from,IN,TV,FALSE,system,NN,O,NOUN.GROUP ,0
9,user account,NN,O,NOUN.STATE,be,VB,IS-A,FALSE,delete,VBN,O,VERB.CONTACT ,0
9,system,NN,O,NOUN.GROUP,shall provide,VB,TV,FALSE,means request,NN,O,NOUN.COMMUNICATION ,0
10,system,NN,O,NOUN.GROUP,shall notify,VB,TV,FALSE,admin,NN,O,OTHER ,0
10,system,NN,O,NOUN.GROUP,shall notify,VB,TV,FALSE,portal admin,NN,O,NOUN.ARTIFACT ,0
10,system,NN,O,NOUN.GROUP,shall notify admin about,IN,OTHER,FALSE,delete request,NNS,O,NOUN.COMMUNICATION ,0
10,system,NN,O,NOUN.GROUP,shall notify admin about,IN,OTHER,FALSE,request,NNS,O,NOUN.COMMUNICATION ,0
11,user,NN,PERSON,NOUN.PERSON,enter password to,TO,TV,FALSE,login,NN,O,OTHER ,0
11,user,NN,PERSON,NOUN.PERSON,enter password to,TO,TV,FALSE,login to system,NN,O,NOUN.GROUP ,0
11,user,NN,PERSON,NOUN.PERSON,enter,VB,TV,FALSE,password,NN,O,NOUN.COMMUNICATION ,1
11,system,NN,O,NOUN.GROUP,shall require,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
11,user,NN,PERSON,NOUN.PERSON,enter,VB,TV,FALSE,they username,JJ,O,OTHER ,1
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning for they credentials,NNS,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning of session,NN,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt,VBN,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning,NN,O,NOUN.EVENT ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning of session for they credentials,NNS,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,OTHER,FALSE,shall prompt for they credentials,NNS,O,NOUN.COMMUNICATION ,0
13,login action,NNS,O,NOUN.ACT,use,VBG,TV,FALSE,datum channel,NNS,O,NOUN.COMMUNICATION ,0
13,login action,NNS,O,NOUN.ACT,shall,MD,OTHER,FALSE,shall protect,VBN,O,OTHER ,0
13,login action,NNS,O,NOUN.ACT,use,VBG,TV,FALSE,secure datum channel,NNS,O,NOUN.COMMUNICATION ,0
14,system,NN,O,NOUN.GROUP,shall lock,VB,TV,FALSE,account,NN,O,NOUN.STATE ,0
14,system,NN,O,NOUN.GROUP,shall lock account after,IN,OTHER,FALSE,3 login attempt,NNS,O,NOUN.ACT ,0
15,this,DT,O,OTHER,will require,VB,TV,FALSE,portal,NN,O,NOUN.ARTIFACT ,0
17,Admin user,NNS,PERSON,NOUN.PERSON,will,MD,TV,FALSE,will authenticate against portal database,NN,O,NOUN.COMMUNICATION ,0
17,Admin user,NNS,PERSON,NOUN.PERSON,will,MD,TV,FALSE,will authenticate,VBN,O,NOUN.COGNITION ,0
18,user,NNS,PERSON,NOUN.PERSON,will,MD,TV,FALSE,will authenticate,VBN,O,NOUN.COGNITION ,0
18,user,NNS,PERSON,NOUN.PERSON,will,MD,TV,FALSE,will authenticate against NCAR Gatekeeper system,NN,O,NOUN.GROUP ,0
