requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,driver,NN,TITLE,NON-PERSON,of,IN,OTHER,N,smart card,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's smart card to similar person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's smart card to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's smart card,NN,O,TN ,1
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's card to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery to similar person,NN,O,TN ,1
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's card,NN,O,TN ,1
1,member,NN,PERSON,PERSON,send,VB,TV,Y,request,NNS,O,TN ,1
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery of driver 's card to similar person,NN,O,TN ,1
1,system,NN,O,NON-PERSON,must allow,VB,TV,Y,member,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,Y,possible delivery,NN,O,TN ,1
1,system,NN,O,NON-PERSON,must allow,VB,TV,Y,member of network,NN,O,TN ,0
2,member,NN,PERSON,PERSON,send,VB,TV,Y,bulk request on all,DT,O,TN ,1
2,member,NN,PERSON,PERSON,send,VB,TV,Y,request on all,DT,O,TN ,1
2,driver,NN,TITLE,NON-PERSON,of,IN,OTHER,N,smart cardholder,NNS,O,TN ,0
2,member,NN,PERSON,PERSON,send,VB,TV,Y,request,NN,O,TN ,1
2,member,NN,PERSON,PERSON,send,VB,TV,Y,bulk request,NN,O,TN ,1
2,system,NN,O,NON-PERSON,must allow,VB,TV,Y,member,NN,O,TN ,0
2,system,NN,O,NON-PERSON,must allow,VB,TV,Y,member of network,NN,O,TN ,0
3,member,NN,PERSON,PERSON,do,VB,TV,Y,statistics,NNS,O,TN ,1
3,member,NN,PERSON,PERSON,do,VB,TV,Y,statistics on message,NNS,O,TN ,1
3,system,NN,O,NON-PERSON,must allow,VB,TV,Y,member,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,N,use,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide,VB,TV,Y,reply,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide,VB,TV,Y,automatic reply,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,N,use of interface to member system,NNS,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,N,use of standard interface,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,N,use of interface,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,N,use to member system,NNS,O,TN ,0
