requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,scientist,NNS,PERSON,PERSON,exploit,VB,TV,Y,datum from burst,NNS,O,TN ,1
1,scientist,NNS,PERSON,PERSON,origin of,IN,OTHER,N,Gamma-Ray Bursts,NNPS,MISC,OTHER ,0
1,scientist,NNS,PERSON,PERSON,exploit,VB,TV,Y,datum,NNS,O,TN ,1
1,scientist,NNS,PERSON,PERSON,determine,VB,TV,Y,origin of Gamma-Ray Bursts,NNPS,MISC,TN ,1
1,scientist,NNS,PERSON,PERSON,determine,VB,TV,Y,origin,NN,O,TN ,1
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,Y,grb afterglow characteristic,NNS,O,TN ,1
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,Y,discover grb afterglow characteristic,NNS,O,TN ,1
2,Swift instrumentation,NN,O,NON-PERSON,shall allow,VB,TV,Y,scientist,NNS,O,TN ,0
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,Y,newly discover grb afterglow characteristic,NNS,O,TN ,1
3,scientist,NNS,PERSON,PERSON,determine,VB,TV,Y,origin of grb,NNS,O,TN ,1
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,Y,class,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,shall allow,VB,TV,Y,scientist,NNS,O,TN ,0
3,GRB blast wave,NNS,O,NON-PERSON,interact with,IN,TV,Y,surroundings,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,Y,different class,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,Y,class of burst,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,Y,different class of burst,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,shall allow,VB,TV,Y,determine,VB,O,TV ,0
3,scientist,NNS,PERSON,PERSON,determine,VB,TV,Y,origin,NN,O,TN ,1
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,N,slew in direction,NN,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,N,slew,NNS,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,N,slew in direction of GRB,NNP,O,TN ,0
4,slew,NNS,O,NON-PERSON,be in,IN,TV,Y,direction of GRB,NNP,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,bring,VBG,TV,Y,it,PRP,O,TN ,0
